delegacion,ano,detecciones,fecha,fn_ano
     Jalisco,2009 (1)(2),3260090,2009-01-01,
     México Oriente,2009 (1)(2),4161149,2009-01-01,
     México Poniente,2009 (1)(2),1701523,2009-01-01,
     Michoacán,2009 (1)(2),1165930,2009-01-01,
     Morelos,2009 (1)(2),764816,2009-01-01,
     Nayarit,2009 (1)(2),448293,2009-01-01,
     Nuevo León,2009 (1)(2),3799309,2009-01-01,
     Oaxaca,2009 (1)(2),497041,2009-01-01,
     Puebla,2009 (1)(2),1979344,2009-01-01,
     Querétaro,2009 (1)(2),876092,2009-01-01,
     Quintana Roo,2009 (1)(2),736978,2009-01-01,
     San Luis Potosí,2009 (1)(2),1208627,2009-01-01,
     Sinaloa,2009 (1)(2),1514605,2009-01-01,
     Sonora,2009 (1)(2),1303972,2009-01-01,
     Tabasco,2009 (1)(2),507914,2009-01-01,
     Tamaulipas,2009 (1)(2),1549517,2009-01-01,
     Tlaxcala,2009 (1)(2),387217,2009-01-01,
     Veracruz Norte,2009 (1)(2),2044986,2009-01-01,
     Veracruz Sur,2009 (1)(2),1003184,2009-01-01,
     Yucatán,2009 (1)(2),1075975,2009-01-01,
     Zacatecas,2009 (1)(2),373557,2009-01-01,
     Aguascalientes,2010 (2),989817,2010-01-01,
     Baja California,2010 (2),1752977,2010-01-01,
     Baja California Sur,2010 (2),598374,2010-01-01,
     Campeche,2010 (2),441030,2010-01-01,
     Coahuila ,2010 (2),2247344,2010-01-01,
     Colima,2010 (2),452322,2010-01-01,
     Chiapas,2010 (2),918374,2010-01-01,
     Chihuahua,2010 (2),1623618,2010-01-01,
     D.F. Norte,2010 (2),2955473,2010-01-01,
     D.F. Sur,2010 (2),3820546,2010-01-01,
     Durango,2010 (2),1085273,2010-01-01,
     Guanajuato,2010 (2),2557279,2010-01-01,
     Guerrero,2010 (2),920317,2010-01-01,
     Hidalgo,2010 (2),649492,2010-01-01,
     Jalisco,2010 (2),3808586,2010-01-01,
     México Oriente,2010 (2),4658892,2010-01-01,
     México Poniente,2010 (2),1917142,2010-01-01,
     Michoacán,2010 (2),1231676,2010-01-01,
     Morelos,2010 (2),901699,2010-01-01,
     Nayarit,2010 (2),524612,2010-01-01,
     Nuevo León,2010 (2),4321764,2010-01-01,
     Oaxaca,2010 (2),566181,2010-01-01,
     Puebla,2010 (2),1975963,2010-01-01,
     Querétaro,2010 (2),923670,2010-01-01,
     Quintana Roo,2010 (2),699475,2010-01-01,
     San Luis Potosí,2010 (2),1239880,2010-01-01,
     Sinaloa,2010 (2),1547745,2010-01-01,
     Sonora,2010 (2),1354660,2010-01-01,
     Tabasco,2010 (2),511594,2010-01-01,
     Tamaulipas,2010 (2),1966723,2010-01-01,
     Tlaxcala,2010 (2),375267,2010-01-01,
     Veracruz Norte,2010 (2),2092699,2010-01-01,
     Veracruz Sur,2010 (2),1255779,2010-01-01,
     Yucatán,2010 (2),1059709,2010-01-01,
     Zacatecas,2010 (2),382098,2010-01-01,
     Aguascalientes,2011 (2),1095825,2011-01-01,
     Baja California,2011 (2),2162719,2011-01-01,
     Baja California Sur,2011 (2),577551,2011-01-01,
     Campeche,2011 (2),455844,2011-01-01,
     Coahuila ,2011 (2),2422900,2011-01-01,
     Colima,2011 (2),492514,2011-01-01,
     Chiapas,2011 (2),890282,2011-01-01,
     Chihuahua,2011 (2),2197246,2011-01-01,
     D.F. Norte,2011 (2),2837894,2011-01-01,
     D.F. Sur,2011 (2),4037047,2011-01-01,
     Durango,2011 (2),1405124,2011-01-01,
     Guanajuato,2011 (2),2538085,2011-01-01,
     Guerrero,2011 (2),971273,2011-01-01,
     Hidalgo,2011 (2),851499,2011-01-01,
     Jalisco,2011 (2),4569472,2011-01-01,
     México Oriente,2011 (2),5626015,2011-01-01,
     México Poniente,2011 (2),2040534,2011-01-01,
     Michoacán,2011 (2),1419014,2011-01-01,
     Morelos,2011 (2),982421,2011-01-01,
